"","full.RMSPE","alt.RMSPE","env_only.RMSPE","red1.RMSPE","red2.RMSPE","red3.RMSPE","red4.RMSPE","full_noindv.RMSPE","alt_noindv.RMSPE","env_only_noindv.RMSPE","red1_noindv.RMSPE","red2_noindv.RMSPE","red3_noindv.RMSPE","red4_noindv.RMSPE"
"2.5%",96170710.0052771,99610738.0329612,96489263.4209881,96737509.5670163,99594963.7041769,99535908.521022,99570478.2407099,95954787.2024004,99511174.1260946,96259192.6927269,96468211.2427942,99312901.7551832,99431967.4006235,99400711.1560397
"50%",99915666.8140047,102405832.456855,100102004.824643,100282197.832818,102260451.125795,101947796.50642,102135962.115001,99589290.4784586,102054455.225426,99697541.1617424,99818570.4828808,101808840.078812,101704655.214586,101873339.735519
"97.5%",114397415.403041,117475315.611966,113614843.630941,112860712.972065,114836067.343017,112936954.598277,113882038.797077,107939119.713845,110397324.807482,107567926.344187,107612984.320023,109655418.909606,108942947.901489,109261116.656253
