"Size Frac","Site","Variable","Post. Mean","95% Cred.Intv","Pr(>0)"
"micro","CW","SiOH","-0.08","(-0.54, 0.43)","0.37"
"micro","CE","seasonal","0.35","(0.06, 0.87)","1.00"
"micro","CE","wind","0.16","(-0.09, 0.42)","0.90"
"micro","CE","temp","0.01","(-0.40, 0.42)","0.52"
"micro","CE","sal","-0.16","(-0.45, 0.12)","0.12"
"micro","CE","P","0.01","(-0.36, 0.36)","0.52"
"micro","CE","NH4","-0.10","(-0.34, 0.12)","0.18"
"micro","CE","N","0.02","(-0.21, 0.26)","0.57"
"micro","CE","SiOH","0.13","(-0.35, 0.71)","0.70"
"micro","AB","seasonal","0.44","(0.08, 1.04)","1.00"
"micro","AB","wind","0.04","(-0.20, 0.29)","0.63"
"micro","AB","temp","-0.13","(-0.55, 0.28)","0.27"
"micro","AB","sal","-0.17","(-0.54, 0.16)","0.16"
"micro","AB","P","0.12","(-0.18, 0.41)","0.80"
"micro","AB","NH4","-0.05","(-0.28, 0.19)","0.34"
"micro","AB","N","-0.19","(-0.45, 0.06)","0.07"
"micro","AB","SiOH","-0.36","(-0.81, 0.05)","0.04"
"micro","MB","seasonal","0.46","(0.08, 1.05)","1.00"
"micro","MB","wind","0.02","(-0.23, 0.26)","0.57"
"micro","MB","temp","0.09","(-0.32, 0.54)","0.66"
"micro","MB","sal","-0.01","(-0.34, 0.32)","0.47"
"micro","MB","P","0.38","(0.03, 0.74)","0.99"
"micro","MB","NH4","-0.13","(-0.35, 0.08)","0.12"
"micro","MB","N","0.25","(0.02, 0.51)","0.98"
"micro","MB","SiOH","-0.10","(-0.56, 0.37)","0.34"
"micro","SC","seasonal","0.79","(0.29, 1.38)","1.00"
"micro","SC","wind","-0.29","(-0.57, -0.04)","0.01"
"micro","SC","temp","-0.00","(-0.45, 0.46)","0.50"
"micro","SC","sal","0.06","(-0.36, 0.53)","0.61"
"micro","SC","P","0.28","(0.08, 0.50)","1.00"
"micro","SC","NH4","-0.03","(-0.29, 0.24)","0.42"
"micro","SC","N","0.16","(-0.07, 0.39)","0.91"
"micro","SC","SiOH","-0.11","(-0.42, 0.20)","0.24"
