"","full.RMSPE","alt.RMSPE","env_only.RMSPE","red1.RMSPE","red2.RMSPE","red3.RMSPE","red4.RMSPE","full_noindv.RMSPE","alt_noindv.RMSPE","env_only_noindv.RMSPE","red1_noindv.RMSPE","red2_noindv.RMSPE","red3_noindv.RMSPE","red4_noindv.RMSPE"
"2.5%",446515788.516682,447398063.99872,446490057.197701,447529816.657007,447821733.679467,448328698.783895,448589743.472919,447146385.640129,448046403.808828,446628866.833144,447056683.938442,447887739.659092,448341612.2038,448488239.589322
"50%",459810608.590525,459361936.246899,459351859.751743,460233145.192857,459711654.551097,459736945.86997,460281311.789377,459740654.233629,459386726.212999,458821988.280549,458996978.999457,458938222.095141,459173536.608979,459761601.514879
"97.5%",507741431.132548,503328806.486728,505420475.911861,506870204.064259,505379688.879216,498788971.713473,507209065.65497,501427828.564091,494298486.694363,499188892.363337,499152864.544294,495473731.298865,494718134.462235,503295671.361523
