"","full.RMSPE","alt.RMSPE","env_only.RMSPE","red1.RMSPE","red2.RMSPE","red3.RMSPE","red4.RMSPE","full_noindv.RMSPE","alt_noindv.RMSPE","env_only_noindv.RMSPE","red1_noindv.RMSPE","red2_noindv.RMSPE","red3_noindv.RMSPE","red4_noindv.RMSPE"
"2.5%",96848607.4929924,99842780.0611701,97630292.7515244,100588616.621434,100025858.62651,100784867.229062,103618000.278576,96766240.7686873,99960525.5405889,96879206.4076434,100699250.850288,99985759.730189,101410583.19576,104069054.863434
"50%",107486627.228538,106226165.056714,108258055.977963,107278999.622458,106741289.372459,106607474.162246,107840177.320597,105152176.385692,105954379.951503,105337424.478088,106299869.096369,105900284.251052,106721676.139466,107973996.274176
"97.5%",148058171.794282,122596837.319586,152618541.218785,128459076.595623,126250442.898887,119509412.834365,133152353.443752,129191280.170119,118473457.721191,129662416.250722,118989863.798533,118281746.682657,116308278.324323,127204446.627667
